setting,r,beta,gate_gamma,normalize_candidate_evidence,val_macro_classwise,test_macro_classwise,test_hard_classwise
support_only,3,0.005,2.0,True,0.5724932471811182,0.5115060882783365,0.3414174265912474
support_only,3,0.01,2.0,True,0.5713285378682864,0.5132168439441365,0.34413120027276306
support_only,3,0.02,2.0,True,0.5712340755917017,0.5109325014688594,0.34173898787775375
support_only,3,0.05,2.0,True,0.5728693951167789,0.5072500637562959,0.33971266201188305
support_minus_global_refute,3,0.005,2.0,True,0.5725993240946422,0.5116930683868356,0.3414174265912474
support_minus_global_refute,3,0.01,2.0,True,0.5713285378682864,0.5132168439441365,0.34413120027276306
support_minus_global_refute,3,0.02,2.0,True,0.570713841658335,0.5137870116126303,0.34600826569723236
support_minus_global_refute,3,0.05,2.0,True,0.5728634320875601,0.5091831329443421,0.34086844265113736
support_minus_confusion_refute,3,0.005,2.0,True,0.5724932471811182,0.511826541090564,0.3414174265912474
support_minus_confusion_refute,3,0.01,2.0,True,0.572902986977469,0.5138421216549641,0.344457997658384
support_minus_confusion_refute,3,0.02,2.0,True,0.5730907351073898,0.5133365741307737,0.3432344169895162
support_minus_confusion_refute,3,0.05,2.0,True,0.5747344754651466,0.5092101498055491,0.34360668023528307
support_only,5,0.005,2.0,True,0.5724932471811182,0.5124752931645921,0.34413120027276306
support_only,5,0.01,2.0,True,0.5712352302749789,0.5133141995455683,0.34413120027276306
support_only,5,0.02,2.0,True,0.5720243812538014,0.5138921751614159,0.3460593066369146
support_only,5,0.05,2.0,True,0.5717085209355354,0.5079974700745676,0.34236672389368467
support_minus_global_refute,5,0.005,2.0,True,0.5724932471811182,0.5124752931645921,0.34413120027276306
support_minus_global_refute,5,0.01,2.0,True,0.5713285378682864,0.5132706714972187,0.34413120027276306
support_minus_global_refute,5,0.02,2.0,True,0.5708684489557995,0.5140044317974634,0.3475144781122007
support_minus_global_refute,5,0.05,2.0,True,0.5724458058330775,0.5076557216532264,0.33852218582140686
support_minus_confusion_refute,5,0.005,2.0,True,0.5723968942586783,0.5127621655497857,0.34413120027276306
support_minus_confusion_refute,5,0.01,2.0,True,0.5728066340550292,0.5138607294154596,0.344457997658384
support_minus_confusion_refute,5,0.02,2.0,True,0.5730698293189878,0.5114973998729248,0.34204394079904
support_minus_confusion_refute,5,0.05,2.0,True,0.574063136564131,0.5091880680846215,0.3442458630855155
support_only,8,0.005,2.0,True,0.5723968942586783,0.5124752931645921,0.34413120027276306
support_only,8,0.01,2.0,True,0.5712650352348129,0.5128187627210495,0.3432675214679078
support_only,8,0.02,2.0,True,0.5722060088129893,0.5136714427456253,0.3472162895323475
support_only,8,0.05,2.0,True,0.5714143212705822,0.5092504352612119,0.3456618415920851
support_minus_global_refute,8,0.005,2.0,True,0.5724932471811182,0.5125291207176743,0.34413120027276306
support_minus_global_refute,8,0.01,2.0,True,0.5713285378682864,0.5132272649038121,0.34413120027276306
support_minus_global_refute,8,0.02,2.0,True,0.5709614560837333,0.5137970831387408,0.34669048487086024
support_minus_global_refute,8,0.05,2.0,True,0.5719531773008812,0.5091047223943123,0.34826031517126976
support_minus_confusion_refute,8,0.005,2.0,True,0.5723968942586783,0.5130329126669202,0.34413120027276306
support_minus_confusion_refute,8,0.01,2.0,True,0.5728834314960664,0.5133727540862514,0.3432675214679078
support_minus_confusion_refute,8,0.02,2.0,True,0.5737150526273703,0.5115740779741825,0.3414373622265157
support_minus_confusion_refute,8,0.05,2.0,True,0.5731790539622031,0.5112249742131564,0.35217719483464516
